===> Epoch 1 Complete: Avg. Loss: 0.0581
===> Processing image: 1 || Timer: 0.5973 sec. || PSNR: 23.0312 dB
===> Processing image: 2 || Timer: 0.0807 sec. || PSNR: 24.5550 dB
===> Processing image: 3 || Timer: 0.0927 sec. || PSNR: 29.9784 dB
===> Processing image: 4 || Timer: 0.1007 sec. || PSNR: 20.3785 dB
===> Processing image: 5 || Timer: 0.0952 sec. || PSNR: 22.5095 dB
===> Processing image: 6 || Timer: 0.0839 sec. || PSNR: 25.9931 dB
===> Processing image: 7 || Timer: 0.0875 sec. || PSNR: 24.4741 dB
===> Processing image: 8 || Timer: 0.0939 sec. || PSNR: 24.9499 dB
===> Processing image: 9 || Timer: 0.0991 sec. || PSNR: 24.4136 dB
===> Processing image: 10 || Timer: 0.0978 sec. || PSNR: 22.9333 dB
===> Processing image: 11 || Timer: 0.0961 sec. || PSNR: 21.8249 dB
===> Processing image: 12 || Timer: 0.0896 sec. || PSNR: 22.2295 dB
===> Processing image: 13 || Timer: 0.0929 sec. || PSNR: 23.6453 dB
===> Processing image: 14 || Timer: 0.0925 sec. || PSNR: 22.7857 dB
===> Processing image: 15 || Timer: 0.0953 sec. || PSNR: 18.9526 dB
===> Processing image: 16 || Timer: 0.0990 sec. || PSNR: 24.5613 dB
===> Processing image: 17 || Timer: 0.0892 sec. || PSNR: 22.9594 dB
===> Processing image: 18 || Timer: 0.0969 sec. || PSNR: 18.7564 dB
===> Processing image: 19 || Timer: 0.0906 sec. || PSNR: 22.0107 dB
===> Processing image: 20 || Timer: 0.1005 sec. || PSNR: 25.6544 dB
===> Processing image: 21 || Timer: 0.0895 sec. || PSNR: 26.3664 dB
===> Processing image: 22 || Timer: 0.0942 sec. || PSNR: 27.0717 dB
===> Processing image: 23 || Timer: 0.0897 sec. || PSNR: 28.1212 dB
===> Processing image: 24 || Timer: 0.0909 sec. || PSNR: 23.1649 dB
===> Processing image: 25 || Timer: 0.0944 sec. || PSNR: 22.2275 dB
===> Processing image: 26 || Timer: 0.0919 sec. || PSNR: 28.0860 dB
===> Processing image: 27 || Timer: 0.0921 sec. || PSNR: 22.3854 dB
===> Processing image: 28 || Timer: 0.0940 sec. || PSNR: 30.2779 dB
===> Processing image: 29 || Timer: 0.0970 sec. || PSNR: 29.2681 dB
===> Processing image: 30 || Timer: 0.0926 sec. || PSNR: 21.6147 dB
===> Processing image: 31 || Timer: 0.0897 sec. || PSNR: 20.7089 dB
===> Processing image: 32 || Timer: 0.0954 sec. || PSNR: 20.3508 dB
===> Processing image: 33 || Timer: 0.0940 sec. || PSNR: 19.7480 dB
===> Processing image: 34 || Timer: 0.0891 sec. || PSNR: 20.3226 dB
===> Processing image: 35 || Timer: 0.0953 sec. || PSNR: 21.0229 dB
===> Processing image: 36 || Timer: 0.0941 sec. || PSNR: 22.2785 dB
===> Processing image: 37 || Timer: 0.0958 sec. || PSNR: 20.7954 dB
===> Processing image: 38 || Timer: 0.0873 sec. || PSNR: 23.6514 dB
===> Processing image: 39 || Timer: 0.0944 sec. || PSNR: 21.2059 dB
===> Processing image: 40 || Timer: 0.0871 sec. || PSNR: 28.7262 dB
===> Processing image: 41 || Timer: 0.0960 sec. || PSNR: 23.3968 dB
===> Processing image: 42 || Timer: 0.0924 sec. || PSNR: 21.4065 dB
===> Processing image: 43 || Timer: 0.0835 sec. || PSNR: 23.3331 dB
===> Processing image: 44 || Timer: 0.0925 sec. || PSNR: 26.1980 dB
===> Processing image: 45 || Timer: 0.0949 sec. || PSNR: 25.8316 dB
===> Processing image: 46 || Timer: 0.0897 sec. || PSNR: 29.5161 dB
===> Processing image: 47 || Timer: 0.0868 sec. || PSNR: 28.7257 dB
===> Processing image: 48 || Timer: 0.0814 sec. || PSNR: 26.0556 dB
===> Processing image: 49 || Timer: 0.0895 sec. || PSNR: 25.9889 dB
===> Processing image: 50 || Timer: 0.0900 sec. || PSNR: 27.5205 dB
===> Processing image: 51 || Timer: 0.0966 sec. || PSNR: 30.1789 dB
===> Processing image: 52 || Timer: 0.0882 sec. || PSNR: 27.1804 dB
===> Processing image: 53 || Timer: 0.0897 sec. || PSNR: 27.8424 dB
===> Processing image: 54 || Timer: 0.0825 sec. || PSNR: 26.1801 dB
===> Processing image: 55 || Timer: 0.0862 sec. || PSNR: 29.1191 dB
===> Processing image: 56 || Timer: 0.0814 sec. || PSNR: 27.4539 dB
===> Processing image: 57 || Timer: 0.0890 sec. || PSNR: 28.4197 dB
===> Processing image: 58 || Timer: 0.0901 sec. || PSNR: 29.0468 dB
===> Processing image: 59 || Timer: 0.0895 sec. || PSNR: 28.7562 dB
===> Processing image: 60 || Timer: 0.0904 sec. || PSNR: 28.1603 dB
===> Processing image: 61 || Timer: 0.0924 sec. || PSNR: 22.3943 dB
===> Processing image: 62 || Timer: 0.0990 sec. || PSNR: 30.3839 dB
===> Processing image: 63 || Timer: 0.0875 sec. || PSNR: 28.6093 dB
===> Processing image: 64 || Timer: 0.0898 sec. || PSNR: 23.1807 dB
===> Processing image: 65 || Timer: 0.0887 sec. || PSNR: 25.3521 dB
===> Processing image: 66 || Timer: 0.0912 sec. || PSNR: 28.1733 dB
===> Processing image: 67 || Timer: 0.0890 sec. || PSNR: 28.0485 dB
===> Processing image: 68 || Timer: 0.0893 sec. || PSNR: 28.0578 dB
===> Processing image: 69 || Timer: 0.0928 sec. || PSNR: 29.1174 dB
